0.0.0.0,255.255.255.255,2,628,1635412664.166006,1635412664.235238,0.069232,0,0,0.000000,0.000000,0.000000
13.89.178.27,192.168.43.165,15,13463,1635412748.095633,1635413348.822151,0.270060,10,6867,1635412747.832793,1635413348.531577,0.283211
13.107.4.52,192.168.43.165,1,539,1635412665.092203,1635412665.092203,0.000000,1,111,1635412665.022885,1635412665.022885,0.000000
13.107.42.12,192.168.43.165,10,10586,1635412665.585402,1635412669.693620,0.070674,6,4170,1635412665.513450,1635412669.418817,0.105228
20.44.229.112,192.168.43.165,10,10607,1635412905.193412,1635412905.753621,0.096083,10,8082,1635412905.101213,1635412905.606735,0.090261
20.190.145.143,192.168.43.165,91,113394,1635412815.646103,1635412820.670101,0.001305,44,34922,1635412815.574617,1635412820.670606,0.079216
20.197.71.89,192.168.43.165,32,11128,1635412667.526206,1635413450.673357,0.102765,23,5598,1635412667.417007,1635413450.565140,0.117480
20.205.248.73,192.168.43.165,5,4160,1635412829.756255,1635412830.104032,0.245514,5,2852,1635412829.677458,1635412829.868764,0.085908
35.247.185.126,192.168.43.165,13,7690,1635413540.429492,1635413540.923805,0.082898,16,6447,1635413540.281939,1635413540.824115,0.021693
40.119.205.193,192.168.43.165,77,72479,1635412667.747036,1635412672.557016,0.086070,57,27282,1635412667.643007,1635412672.543863,0.106582
49.44.204.188,192.168.43.165,8,6799,1635413043.735958,1635413178.933613,0.054744,3,1776,1635413043.711427,1635413043.833476,0.068609
52.109.16.1,192.168.43.165,14,13400,1635412818.551747,1635412823.515830,0.258685,10,4772,1635412818.212728,1635412822.084390,0.270793
52.109.56.20,192.168.43.165,7,7052,1635412816.613736,1635412817.306499,0.062272,9,8193,1635412816.557194,1635412816.677080,0.038760
52.109.60.16,192.168.43.165,14,13294,1635412828.867565,1635412829.320736,0.002933,8,4093,1635412828.800334,1635412828.940026,0.001482
52.109.88.35,192.168.43.165,34,43421,1635412875.207303,1635412875.698989,0.001124,3,1008,1635412875.025449,1635412875.375690,0.187394
52.109.116.33,192.168.43.165,10,10633,1635412817.042451,1635412830.437304,0.356651,7,5536,1635412816.851658,1635412830.082607,0.196435
52.111.240.9,192.168.43.165,7,6420,1635412828.735967,1635412903.932248,0.105246,4,870,1635412828.640968,1635412903.932483,0.103338
52.182.143.211,192.168.43.165,33,26937,1635412825.395618,1635413538.628876,0.112306,29,25520,1635412825.114665,1635413538.272685,0.282332
54.146.210.61,192.168.43.165,1,140,1635412665.535557,1635412665.535557,0.000000,1,277,1635412665.213980,1635412665.213980,0.000000
74.125.250.13,192.168.43.165,15,5103,1635412673.421329,1635413196.957134,0.042026,11,1770,1635412673.369725,1635413196.915888,0.054734
74.125.250.129,192.168.43.165,16,512,1635412672.477215,1635413195.984413,0.003958,16,320,1635412672.417832,1635413195.932550,0.000306
137.116.139.120,192.168.43.165,8,7989,1635412814.414568,1635412814.616723,0.098071,4,2090,1635412814.311931,1635412814.525364,0.085756
192.168.43.90,192.168.43.165,113,14909,1635412664.234220,1635413540.364767,0.012600,113,4422,1635412664.872098,1635413540.309769,0.003084
192.168.43.90,224.0.0.251,19,6063,1635412665.122163,1635412868.683209,4.004756,0,0,0.000000,0.000000,0.000000
192.168.43.165,192.168.43.255,57,3066,1635412664.352183,1635412677.552092,0.000381,0,0,0.000000,0.000000,0.000000
192.168.43.165,209.97.170.78,5,1825,1635412818.593891,1635412911.205589,45.099660,7,3682,1635412818.702914,1635412821.101081,0.300030
192.168.43.165,224.0.0.251,146,12738,1635412664.363128,1635413045.576955,0.001890,0,0,0.000000,0.000000,0.000000
192.168.43.165,224.0.0.252,69,2197,1635412664.367723,1635413173.056372,0.000859,0,0,0.000000,0.000000,0.000000
192.168.43.165,239.255.255.250,35,6055,1635412666.888772,1635413512.075903,1.004627,0,0,0.000000,0.000000,0.000000
